accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,activity
-1.7950592,9.510284,5.160187,-0.33869934,-0.17373657,0.07185364,NOT FALL
-0.10714722,9.505493,5.3253784,-0.35362244,-0.21102905,-0.08154297,NOT FALL
0.1777649,8.926086,8.859222,-0.2492218,-0.023544312,-0.024017334,NOT FALL
-0.09277344,8.78244,9.900696,-0.28437805,-0.23872375,0.15281677,NOT FALL
-0.25079346,8.741745,10.144913,-0.48890686,-0.2696228,0.18904114,NOT FALL
-0.9139862,7.9684143,6.876816,-0.89582825,-0.0736084,0.0761261,NOT FALL
-1.7064667,7.1783295,3.11792,-1.2154083,0.45263672,0.114471436,NOT FALL
-1.91716,7.053833,3.4770508,-1.2303314,0.76475525,0.4809265,NOT FALL
-2.3050232,7.326767,5.382843,-1.0332489,0.71469116,0.81648254,NOT FALL
-2.652176,7.6715393,7.008499,-0.7072754,0.84358215,0.8580322,NOT FALL
-2.5324707,7.647583,7.707611,-0.76693726,0.56874084,0.7717438,NOT FALL
-2.3433228,6.8790436,7.0420227,-1.0801239,0.36314392,0.5906372,NOT FALL
-2.8532867,5.5335083,6.2902374,-1.322998,0.8883209,0.3349762,NOT FALL
-2.542038,4.7506104,6.29982,-1.4923859,1.590332,0.22099304,NOT FALL
-1.7926636,4.9421387,6.6661377,-1.5041046,1.573288,0.24336243,NOT FALL
-1.9267273,5.59816,8.349258,-1.4423218,0.6773987,0.22845459,NOT FALL
-1.869278,5.911789,9.371582,-1.4529724,-0.21209717,0.11126709,NOT FALL
-1.2826996,6.0243225,8.638962,-1.5531006,-0.42834473,-0.06556702,NOT FALL
-1.3449402,6.1584015,8.322922,-1.7128906,-0.18972778,-0.35957336,NOT FALL
-2.07518,5.777725,9.316513,-1.891861,-0.08106995,-0.53533936,NOT FALL
-2.621048,5.4760437,9.4410095,-1.9259491,-0.045913696,-0.47355652,NOT FALL
-2.1613617,5.2773285,8.902313,-1.8865356,-0.28027344,-0.38407898,NOT FALL
-1.2659302,4.800888,8.51207,-1.9206238,-0.48373413,-0.43733215,NOT FALL
-1.7280121,4.211914,7.52565,-2.02182,0.13412476,-0.5140381,NOT FALL
-2.676117,3.0531158,4.125885,-2.0420532,0.8009796,-0.4447937,NOT FALL
-2.676117,0.6517334,6.632614,-2.0069122,0.6411896,-0.3159027,NOT FALL
-3.3967743,0.40034485,9.615784,-1.9099731,0.18525696,-0.3244171,NOT FALL
-2.4678192,0.848053,8.11702,-1.7810669,0.18951416,-0.35638428,NOT FALL
-2.4678192,-0.997879,7.5543823,-1.7619019,0.473938,-0.36489868,NOT FALL
-3.7942047,-0.51423645,10.64769,-1.671341,0.28964233,-0.41603088,NOT FALL
0.29029846,2.377945,7.70282,-1.3634796,0.013748169,-0.38833618,NOT FALL
-1.4335327,1.6692657,9.476929,-1.0684052,-0.32287598,-0.33506775,NOT FALL
-2.1278534,1.2311249,8.1002655,-0.764801,-0.54125977,-0.41177368,NOT FALL
-2.1278534,0.54878235,9.235107,-0.5368347,-0.4453888,-0.1742096,NOT FALL
-4.6034546,0.35723877,9.438614,-0.27798462,-0.04270935,0.17092896,NOT FALL
-1.6274567,1.4298553,8.399536,0.049057007,-0.14924622,0.4649353,NOT FALL
-2.0368652,2.488083,8.51445,0.26423645,-0.13113403,0.57359314,NOT FALL
-2.0368652,2.184021,8.629379,0.4197693,-0.22167969,0.41593933,NOT FALL
-3.1669312,1.6884155,8.971756,0.72016907,-0.6786804,0.49050903,NOT FALL
-2.237976,1.808136,7.7219696,1.0844879,-0.8629761,0.6151428,NOT FALL
-1.8094177,2.014038,8.011673,1.242157,-0.6307373,0.52885437,NOT FALL
-2.4103699,1.8272858,9.366791,1.5106049,-0.53912354,0.43830872,NOT FALL
-0.9211731,2.3396454,7.793808,1.7811737,-0.36228943,0.506485,NOT FALL
-0.056869507,3.3715515,8.136169,2.0453644,-0.4080963,0.56721497,NOT FALL
0.3549347,4.3004913,7.398758,2.2434998,-0.5977173,0.5118103,NOT FALL
-0.15982056,5.0594635,7.44664,2.2584076,-0.2728119,0.48944092,NOT FALL
-0.2747345,5.832779,6.1848907,2.344696,-0.37828064,0.56082153,NOT FALL
-0.581192,6.7832794,5.9191437,2.3851776,-0.29943848,0.46813965,NOT FALL
-1.625061,7.6691437,6.730774,2.36174,-0.111953735,0.29023743,NOT FALL
-2.664154,7.204666,6.5200806,2.3457642,-0.03312683,0.20820618,NOT FALL
-2.664154,6.7641296,7.307785,2.3383026,0.08618164,0.25508118,NOT FALL
-3.2124176,7.8582764,7.7171936,2.1593475,0.38764954,0.24229431,NOT FALL
-2.1876984,9.522247,7.9422455,1.7342987,0.84251404,0.1272583,NOT FALL
-2.178131,9.663513,6.0579987,1.624588,0.86701965,-0.05596924,NOT FALL
-0.636261,9.227768,4.1546173,1.5649261,0.6081543,-0.22640991,NOT FALL
1.1282654,8.186279,5.0572357,1.2666473,0.43878174,-0.3510437,NOT FALL
-0.36332703,7.5973053,5.813797,1.2464142,-0.11834717,-0.43840027,NOT FALL
-1.8956146,7.860672,5.265518,1.4328308,-0.25683594,-0.3478546,NOT FALL
-1.7160492,10.163895,5.3612976,1.2378845,0.03186035,-0.015487671,NOT FALL
-2.5228882,11.820679,5.0620117,0.8810272,-0.13006592,0.09422302,NOT FALL
-2.5228882,10.625977,4.5544434,0.9129791,-0.4176941,-0.08898926,NOT FALL
-4.5795135,8.162338,3.809845,1.0120544,-0.14071655,-0.08047485,NOT FALL
-1.1222839,6.8263855,2.382904,0.5231018,0.8840637,-0.17527771,NOT FALL
-1.0648193,7.920532,4.3844604,0.17262268,0.68699646,-0.58540344,NOT FALL
-1.3569183,9.388168,7.908722,0.040527344,-0.4507141,-0.7004547,NOT FALL
-1.7136536,9.036224,7.6022644,-0.13098145,-0.86509705,-0.2541046,NOT FALL
-2.221222,8.468796,6.998932,-0.1085968,-0.8299408,0.10168457,NOT FALL
-1.3329773,8.928482,7.7100067,-0.25561523,-0.65631104,-0.073013306,NOT FALL
-0.22924805,9.335495,7.889572,-0.40794373,0.37913513,-0.17634583,NOT FALL
-0.61231995,9.273254,7.405945,-0.26945496,0.81907654,-0.12307739,NOT FALL
-1.201294,8.679489,6.584732,-0.3323059,0.010543823,0.09422302,NOT FALL
-0.8206177,7.6571655,5.710846,-0.5283203,-0.28771973,0.2604065,NOT FALL
-0.19812012,6.936508,5.485794,-0.58158875,0.13731384,0.27212524,NOT FALL
-0.025741577,7.053833,5.188904,-0.6337738,0.2704773,0.3360443,NOT FALL
-0.9977875,7.5135193,5.241577,-0.6284485,0.1809845,0.5831909,NOT FALL
-2.4199371,8.140793,7.0300446,-0.6337738,0.23957825,0.80155945,NOT FALL
-1.3329773,9.342682,8.485733,-0.6486969,0.29496765,0.89637756,NOT FALL
-2.0775757,8.535843,6.9270935,-0.7253876,0.59217834,0.85375977,NOT FALL
-2.0775757,6.4888,5.401993,-0.8894501,0.9905853,0.70462036,NOT FALL
-2.8054047,5.523926,5.3373566,-1.1429749,1.4262848,0.6321869,NOT FALL
-1.1270752,6.0482635,6.7690887,-1.2814636,1.889679,0.6108856,NOT FALL
-0.16459656,6.701874,7.4921265,-1.1046295,1.3964539,0.43511963,NOT FALL
-0.6506195,6.563019,7.829712,-0.8990326,0.012680054,0.4521637,NOT FALL
-1.0097504,6.235016,7.429886,-1.0929108,-0.41555786,0.4756012,NOT FALL
-1.5604248,6.2254333,6.9630127,-1.4540405,0.03930664,0.3030243,NOT FALL
-2.7503357,6.2661285,7.1880646,-1.589325,0.43026733,0.0803833,NOT FALL
-2.7503357,5.808838,8.277435,-1.6138153,0.3759308,-0.019760132,NOT FALL
-2.4534607,5.310852,7.6692963,-1.5946503,0.13624573,0.005813599,NOT FALL
-1.7136536,4.9565125,6.3333435,-1.639389,-0.14604187,-0.119888306,NOT FALL
-1.5723877,4.69075,7.1449738,-1.8076935,-0.1758728,-0.3201599,NOT FALL
-1.1294708,4.386688,8.737122,-1.9270172,-0.004364014,-0.39579773,NOT FALL
-2.2020721,4.0514984,9.093857,-1.8716125,0.040374756,-0.39579773,NOT FALL
-2.5013428,3.9389648,8.559952,-1.8194122,-0.30371094,-0.42668152,NOT FALL
-1.3018494,3.361969,8.813736,-1.8865356,-0.2035675,-0.42242432,NOT FALL
-1.5867615,2.7753906,9.493683,-2.0122375,0.31201172,-0.45118713,NOT FALL
-1.5867615,1.6046295,7.8560486,-2.0090332,0.45796204,-0.5651703,NOT FALL
-3.391983,-0.60762024,9.110611,-1.8843994,0.41215515,-0.48207092,NOT FALL
-1.9075775,0.15133667,8.468964,-1.719284,0.4228058,-0.3979187,NOT FALL
